YearsExperience,Age,Education,JobType,Location,CompanySize,PerformanceRating,ProjectsCompleted,Certifications,Promoted,Salary
8.2,51,Master,DataScience,Urban,Large,5,17,4,Yes,102000
8.5,52,PhD,DataScience,Urban,Large,5,20,5,Yes,125000
8.8,53,Master,Engineering,Urban,Large,4,15,3,Yes,90000
9.0,54,Master,Management,Urban,Large,5,18,4,Yes,108000
9.3,55,PhD,Engineering,Urban,Large,5,22,5,Yes,130000
9.5,56,Master,Sales,Urban,Large,4,16,3,No,78000
9.8,57,PhD,DataScience,Urban,Large,5,24,5,Yes,135000
10.0,58,Master,Management,Urban,Large,5,20,4,Yes,112000
10.5,59,PhD,Engineering,Urban,Large,5,25,5,Yes,140000
11.0,60,PhD,DataScience,Urban,Large,5,28,5,Yes,145000
2.3,27,Bachelor,HR,Rural,Small,2,3,0,No,40000
3.7,32,Bachelor,Marketing,Suburban,Medium,3,6,1,No,50000
4.3,35,Master,Sales,Urban,Medium,4,8,2,Yes,68000
5.2,39,Bachelor,Engineering,Rural,Small,3,7,1,No,55000
6.3,43,Master,HR,Urban,Medium,4,10,2,Yes,70000
7.2,47,PhD,Management,Urban,Large,5,19,4,Yes,118000
8.3,52,Master,Marketing,Suburban,Large,4,13,3,Yes,85000
9.2,55,PhD,DataScience,Urban,Large,5,23,5,Yes,138000
1.7,25,Bachelor,Sales,Rural,Small,2,2,0,No,39000
2.7,29,Bachelor,DataScience,Suburban,Medium,3,5,1,No,52000
3.3,31,Master,Marketing,Urban,Large,4,7,2,No,65000
4.7,37,Bachelor,Management,Suburban,Medium,3,9,2,No,63000
5.7,41,Master,Sales,Urban,Large,4,11,3,Yes,80000
6.7,45,PhD,Engineering,Urban,Large,5,17,4,Yes,110000
7.7,49,Master,DataScience,Urban,Large,5,19,4,Yes,106000
8.7,53,PhD,Management,Urban,Large,5,21,5,Yes,128000
9.7,57,PhD,DataScience,Urban,Large,5,26,5,Yes,142000
1.4,24,Bachelor,HR,Suburban,Small,2,2,0,No,37000
2.4,28,Bachelor,Engineering,Urban,Medium,3,4,1,No,49000
3.4,32,Master,DataScience,Urban,Large,4,8,2,Yes,70000
4.4,36,Bachelor,Sales,Suburban,Medium,3,7,1,No,54000
5.4,40,Master,Engineering,Urban,Large,4,12,3,Yes,84000
6.4,44,PhD,DataScience,Urban,Large,5,16,4,Yes,108000
7.4,48,Master,Management,Urban,Large,5,17,4,Yes,100000
8.4,52,PhD,Engineering,Urban,Large,5,20,5,Yes,122000
9.4,56,PhD,Management,Urban,Large,5,24,5,Yes,136000
1.9,26,Bachelor,Marketing,Rural,Small,2,3,0,No,41000
2.9,30,Bachelor,Sales,Suburban,Medium,3,5,1,No,50000
3.9,34,Master,Engineering,Urban,Large,4,9,2,Yes,73000
4.9,38,Bachelor,DataScience,Urban,Medium,4,10,2,No,66000
5.9,42,Master,Management,Urban,Large,5,14,3,Yes,90000
6.9,46,PhD,DataScience,Urban,Large,5,18,4,Yes,112000
7.9,50,Master,Engineering,Urban,Large,4,16,3,Yes,92000
8.9,54,PhD,Management,Urban,Large,5,22,5,Yes,132000
10.2,60,PhD,Engineering,Urban,Large,5,27,5,Yes,148000
1.2,23,Bachelor,DataScience,Urban,Small,3,3,1,No,44000
2.1,27,Bachelor,Engineering,Suburban,Medium,3,4,1,No,47000
3.1,31,Master,Sales,Urban,Medium,4,7,2,Yes,67000
4.1,35,Bachelor,Marketing,Suburban,Medium,3,6,1,No,53000
5.1,39,Master,DataScience,Urban,Large,5,13,3,Yes,87000
6.1,43,PhD,Engineering,Urban,Large,5,15,4,Yes,104000
7.1,47,Master,Management,Urban,Large,4,15,3,Yes,96000
8.1,51,PhD,DataScience,Urban,Large,5,19,5,Yes,120000
9.1,55,PhD,Management,Urban,Large,5,21,5,Yes,134000
10.8,61,PhD,DataScience,Urban,Large,5,30,5,Yes,152000
1.6,25,Bachelor,HR,Rural,Small,2,2,0,No,36000
2.6,29,Bachelor,Marketing,Suburban,Medium,3,4,1,No,48000
3.6,33,Master,Engineering,Urban,Large,4,8,2,Yes,71000
4.6,37,Bachelor,Sales,Urban,Medium,4,8,2,No,59000
5.6,41,Master,DataScience,Urban,Large,5,14,3,Yes,91000
6.6,45,PhD,Management,Urban,Large,5,17,4,Yes,114000
7.6,49,PhD,Engineering,Urban,Large,5,19,4,Yes,116000
8.6,53,PhD,DataScience,Urban,Large,5,23,5,Yes,126000
9.6,57,PhD,Management,Urban,Large,5,25,5,Yes,140000
11.5,62,PhD,DataScience,Urban,Large,5,32,5,Yes,155000
12.0,63,PhD,Engineering,Urban,Large,5,35,5,Yes,160000
0.8,21,Bachelor,Sales,Rural,Small,2,1,0,No,35000
3.8,34,Bachelor,Engineering,Suburban,Medium,3,7,2,No,57000
5.8,42,Master,Marketing,Urban,Large,4,12,3,Yes,83000
7.8,50,PhD,DataScience,Urban,Large,5,20,5,Yes,119000
